Company Name,Industry,Symbol,Series,ISIN Code,Exchange
20 Microns Limited,,20MICRONS,EQ,INE144J01027,NSE
21st Century Management Services Limited,,21STCENMGM,EQ,INE253B01015,NSE
360 ONE WAM LIMITED,Financial Services,360ONE,EQ,INE466L01038,NSE
3B Blackbio Dx Limited,,3BBLACKBIO,EQ,INE994E01018,NSE
3M India Limited,Diversified,3MINDIA,EQ,INE470A01017,NSE
3P Land Holdings Limited,,3PLAND,EQ,INE105C01023,NSE
5Paisa Capital Limited,,5PAISA,EQ,INE618L01018,NSE
63 moons technologies limited,,63MOONS,EQ,INE111B01023,NSE
A2Z Infra Engineering Limited,,A2ZINFRA,EQ,INE619I01012,NSE
AAA Technologies Limited,,AAATECH,EQ,INE0D0U01013,NSE
Aadhar Housing Finance Limited,Financial Services,AADHARHFC,EQ,INE883F01010,NSE
Aakash Exploration Services Limited,,AAKASH,EQ,INE087Z01024,NSE
Aarnav Fashions Limited,,AARNAV,EQ,INE750R01016,NSE
Aaron Industries Limited,,AARON,EQ,INE721Z01010,NSE
Aarti Drugs Limited,,AARTIDRUGS,EQ,INE767A01016,NSE
Aarti Industries Limited,Chemicals,AARTIIND,EQ,INE769A01020,NSE
Aarti Pharmalabs Limited,,AARTIPHARM,EQ,INE0LRU01027,NSE
Aarti Surfactants Limited,,AARTISURF,EQ,INE09EO01013,NSE
Aarvi Encon Limited,,AARVI,EQ,INE754X01016,NSE
Aastha Spintex Limited,,AASTHA,EQ,INE2FMX01012,NSE
Aavas Financiers Limited,Financial Services,AAVAS,EQ,INE216P01012,NSE
Abans Enterprises Limited,,ABANSENT,EQ,INE365O01028,NSE
ABB India Limited,Capital Goods,ABB,EQ,INE117A01022,NSE
Abbott India Limited,Healthcare,ABBOTINDIA,EQ,INE358A01014,NSE
Aditya Birla Capital Limited,Financial Services,ABCAPITAL,EQ,INE674K01013,NSE
A B Cotspin India Limited,,ABCOTS,EQ,INE08PH01015,NSE
Allied Blenders and Distillers Limited,Fast Moving Consumer Goods,ABDL,EQ,INE552Z01027,NSE
Aditya Birla Fashion and Retail Limited,Consumer Services,ABFRL,EQ,INE647O01011,NSE
A B Infrabuild Limited,,ABINFRA,EQ,INE00YB01025,NSE
Aditya Birla Lifestyle Brands Limited,Consumer Services,ABLBL,EQ,INE14LE01019,NSE
ABM International Limited,,ABMINTLLTD,EQ,INE251C01025,NSE
ABM Knowledgeware Limited,,ABMKNO,EQ,INE850B01026,NSE
Aditya Birla Real Estate Limited,Realty,ABREL,EQ,INE055A01016,NSE
Aditya Birla Sun Life AMC Limited,Financial Services,ABSLAMC,EQ,INE404A01024,NSE
ACC Limited,Construction Materials,ACC,EQ,INE012A01025,NSE
Accelya Solutions India Limited,,ACCELYA,EQ,INE793A01012,NSE
Action Construction Equipment Limited,Capital Goods,ACE,EQ,INE731H01025,NSE
Ace Integrated Solutions Limited,,ACEINTEG,EQ,INE543V01017,NSE
Archean Chemical Industries Limited,,ACI,EQ,INE128X01021,NSE
Andhra Cements Limited,,ACL,EQ,INE666E01020,NSE
Acme Solar Holdings Limited,Power,ACMESOLAR,EQ,INE622W01025,NSE
ACS Technologies Limited,,ACSTECH,EQ,INE366C01021,NSE
Acutaas Chemicals Limited,Healthcare,ACUTAAS,EQ,INE00FF01025,NSE
Adani Energy Solutions Limited,Power,ADANIENSOL,EQ,INE931S01010,NSE
Adani Enterprises Limited,Metals & Mining,ADANIENT,EQ,INE423A01024,NSE
Adani Green Energy Limited,Power,ADANIGREEN,EQ,INE364U01010,NSE
Adani Ports and Special Economic Zone Limited,Services,ADANIPORTS,EQ,INE742F01042,NSE
Adani Power Limited,Power,ADANIPOWER,EQ,INE814H01029,NSE
ADF Foods Limited,,ADFFOODS,EQ,INE982B01027,NSE
Archidply Decor Limited,,ADL,EQ,INE0CHO01012,NSE
Ador Welding Limited,,ADOR,EQ,INE045A01017,NSE
Adroit Infotech Limited,,ADROITINFO,EQ,INE737B01033,NSE
Allied Digital Services Limited,,ADSL,EQ,INE102I01027,NSE
Advait Energy Transitions Limited,,ADVAIT,EQ,INE0ALI01010,NSE
Advance Agrolife Limited,,ADVANCE,EQ,INE1B0W01010,NSE
Advani Hotels & Resorts (India) Limited,,ADVANIHOTR,EQ,INE199C01026,NSE
Advent Hotels International Limited,,ADVENTHTL,EQ,INE28GN01010,NSE
Advanced Enzyme Technologies Limited,,ADVENZYMES,EQ,INE837H01020,NSE
Aegis Logistics Limited,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025,NSE
Aegis Vopak Terminals Limited,Oil Gas & Consumable Fuels,AEGISVOPAK,EQ,INE0INX01018,NSE
Artemis Electricals and Projects Limited,,AEPL,EQ,INE757T01025,NSE
Aequs Limited,,AEQUS,EQ,INE947N01017,NSE
Aeroflex Enterprises Limited,,AEROENTER,EQ,INE065D01027,NSE
Aeroflex Industries Limited,,AEROFLEX,EQ,INE024001021,NSE
Aeroflex Neu Limited,,AERONEU,EQ,INE035801013,NSE
Amir Chand Jagdish Kumar (Exports) Limited,,AEROPLANE,EQ,INE05TO01019,NSE
Aether Industries Limited,,AETHER,EQ,INE0BWX01014,NSE
Afcons Infrastructure Limited,Construction,AFCONS,EQ,INE101I01011,NSE
Affle 3i Limited,Information Technology,AFFLE,EQ,INE00WC01027,NSE
Akme Fintrade (India) Limited,,AFIL,EQ,INE916Y01027,NSE
Abans Financial Services Limited,,AFSL,EQ,INE00ZE01026,NSE
Agarwal Industrial Corporation Limited,,AGARIND,EQ,INE204E01012,NSE
Dr. Agarwal's Health Care Limited,,AGARWALEYE,EQ,INE943P01029,NSE
AGI Greenpac Limited,,AGI,EQ,INE415A01038,NSE
Agi Infra Limited,,AGIIL,EQ,INE976R01033,NSE
Allcargo Global Limited,,AGL,EQ,INE1YPB01014,NSE
Agri-Tech (India) Limited,,AGRITECH,EQ,INE449G01018,NSE
Agro Phos India Limited,,AGROPHOS,EQ,INE740V01019,NSE
Anlon Healthcare Limited,,AHCL,EQ,INE0Y8W01025,NSE
Ahlada Engineers Limited,,AHLADA,EQ,INE00PV01013,NSE
Asian Hotels (East) Limited,,AHLEAST,EQ,INE926K01017,NSE
Ahluwalia Contracts (India) Limited,,AHLUCONT,EQ,INE758C01029,NSE
AIA Engineering Limited,Capital Goods,AIAENG,EQ,INE212H01026,NSE
Authum Investment & Infrastructure Limited,Financial Services,AIIL,EQ,INE206F01022,NSE
Airan Limited,,AIRAN,EQ,INE645W01026,NSE
Airo Lam limited,,AIROLAM,EQ,INE801L01010,NSE
Ajanta Pharma Limited,Healthcare,AJANTPHARM,EQ,INE031B01049,NSE
Ajax Engineering Limited,,AJAXENGG,EQ,INE274Y01021,NSE
Ajmera Realty & Infra India Limited,,AJMERA,EQ,INE298G01035,NSE
Ajooni Biotech Limited,,AJOONI,EQ,INE820Y01021,NSE
Akash Infra-Projects Limited,,AKASH,EQ,INE737W01013,NSE
AK Capital Services Limited,,AKCAPIT,EQ,INE701G01012,NSE
Akg Exim Limited,,AKG,EQ,INE00Y801016,NSE
AKI India Limited,,AKI,EQ,INE642Z01026,NSE
Akshar Spintex Limited,,AKSHAR,EQ,INE256Z01025,NSE
Akums Drugs and Pharmaceuticals Limited,,AKUMS,EQ,INE09XN01023,NSE
Alankit Limited,,ALANKIT,EQ,INE914E01040,NSE
Albert David Limited,,ALBERTDAVD,EQ,INE155C01010,NSE
Alembic Limited,,ALEMBICLTD,EQ,INE426A01027,NSE
Algoquant Fintech Limited,,ALGOQUANT,EQ,INE598D01035,NSE
Alicon Castalloy Limited,,ALICON,EQ,INE062D01024,NSE
Alivus Life Sciences Limited,,ALIVUS,EQ,INE03Q201024,NSE
Alkem Laboratories Limited,Healthcare,ALKEM,EQ,INE540L01014,NSE
Alkyl Amines Chemicals Limited,,ALKYLAMINE,EQ,INE150B01039,NSE
Allcargo Logistics Limited,,ALLCARGO,EQ,INE418H01029,NSE
Alldigi Tech Limited,,ALLDIGI,EQ,INE835G01018,NSE
All Time Plastics Limited,,ALLTIME,EQ,INE0GV601021,NSE
Almondz Global Securities Limited,,ALMONDZ,EQ,INE326B01035,NSE
Alok Industries Limited,,ALOKINDS,EQ,INE270A01029,NSE
Alpa Laboratories Limited,,ALPA,EQ,INE385I01010,NSE
Alphageo (India) Limited,,ALPHAGEO,EQ,INE137C01018,NSE
Alpine Texworld Limited,,ALPINETEX,EQ,INE1JCQ01037,NSE
Amagi Media Labs Limited,,AMAGI,EQ,INE121R01077,NSE
Ambalal Sarabhai Enterprises Limited,,AMBALALSA,EQ,INE432A01017,NSE
Amber Enterprises India Limited,Consumer Durables,AMBER,EQ,INE371P01015,NSE
Ambica Agarbathies & Aroma industries Limited,,AMBICAAGAR,EQ,INE792B01012,NSE
Ambika Cotton Mills Limited,,AMBIKCO,EQ,INE540G01014,NSE
Ambuja Cements Limited,Construction Materials,AMBUJACEM,EQ,INE079A01024,NSE
AMD Industries Limited,,AMDIND,EQ,INE005I01014,NSE
Amj Land Holdings Limited,,AMJLAND,EQ,INE606A01024,NSE
Amines & Plasticizers Limited,,AMNPLST,EQ,INE275D01022,NSE
Amrutanjan Health Care Limited,,AMRUTANJAN,EQ,INE098F01031,NSE
Anand Rathi Wealth Limited,Financial Services,ANANDRATHI,EQ,INE463V01026,NSE
Anant Raj Limited,Realty,ANANTRAJ,EQ,INE242C01024,NSE
ANDHRA PAPER LIMITED,,ANDHRAPAP,EQ,INE435A01051,NSE
The Andhra Sugars Limited,,ANDHRSUGAR,EQ,INE715B01021,NSE
Angel One Limited,Financial Services,ANGELONE,EQ,INE732I01021,NSE
Anik Industries Limited,,ANIKINDS,EQ,INE087B01017,NSE
Anmol India Limited,,ANMOL,EQ,INE02AR01019,NSE
Annapurna Swadisht Limited,,ANNAPURNA,EQ,INE0MGM01017,NSE
